String,Degree_level
Bachelor's degree,BACHELOR
Bachelor’s Degree,BACHELOR
Master's degree,MASTER
Bachelor of Arts (B.A.),BACHELOR
Bachelor of Science (BS),BACHELOR
Bachelor's Degree,BACHELOR
BS,BACHELOR
BA,
High School,HIGH_SCHOOL
Bachelor of Science (B.S.),BACHELOR
Master’s Degree,MASTER
MBA,
Bachelor of Science,BACHELOR
Master of Business Administration (MBA),MASTER
Diploma,
Bachelor of Science (BSc),BACHELOR
Master of Business Administration (M.B.A.),MASTER
Bachelor of Arts (BA),BACHELOR
Master's Degree,MASTER
Associate's degree,ASSOCIATE
Bachelor,BACHELOR
Certificate,
Master,MASTER
Doctor of Philosophy (PhD),PHD
High School Diploma,HIGH_SCHOOL
Master of Science (MS),MASTER
Bachelor of Science (B.Sc.),BACHELOR
Doctor of Philosophy (Ph.D.),PHD
Bachelor of Engineering (B.E.),BACHELOR
Master of Science (MSc),MASTER
B.S.,
Bachelor of Business Administration (BBA),BACHELOR
Bachelor of Business Administration (B.B.A.),BACHELOR
Master of Science (M.S.),MASTER
Bachelor of Arts,BACHELOR
Bachelor of Science - BS,BACHELOR
Master of Arts (M.A.),MASTER
Bachelor of Technology (B.Tech.),BACHELOR
Masters,MASTER
Associate of Science (A.S.),ASSOCIATE
MS,MASTER
BSc,
Master of Science - MS,MASTER
Associate’s Degree,ASSOCIATE
B.A.,
Bachelor of Commerce (B.Com.),BACHELOR
PhD,PHD
MSc,MASTER
Bachelors,BACHELOR
Associate of Arts (A.A.),ASSOCIATE
Master of Science,MASTER
MA,
Doctor of Philosophy - PhD,PHD
Master of Business Administration - MBA,MASTER
B.E,
Bachelor of Applied Science (B.A.Sc.),BACHELOR
Bachelor of Arts - BA,BACHELOR
Bachelor of Engineering (B.Eng.),BACHELOR
Bachelor of Engineering (BE),BACHELOR
Master of Science (M.Sc.),MASTER
Bachelor of Fine Arts (BFA),BACHELOR
Master of Arts (MA),MASTER
Bachelor of Engineering (BEng),BACHELOR
Bachelor of Applied Science (BASc),BACHELOR
Associate's Degree,ASSOCIATE
Bachelor of Commerce (BCom),BACHELOR
Associate of Arts (AA),ASSOCIATE
BBA,
Ph.D.,PHD
Associate of Arts and Sciences (AAS),ASSOCIATE
Master of Computer Applications (MCA),MASTER
Engineer's degree,
Engineer’s Degree,
JD,
HSC,
BA (Hons),
Licentiate degree,
Engineer's Degree,
Associate of Science (AS),ASSOCIATE
AA,
Bachelor of Technology (BTech),BACHELOR
Master of Education (M.Ed.),MASTER
BSN,
M.S.,MASTER
Study Abroad,
diploma,
Graduate,
Doctor of Law (J.D.),
Master of Arts - MA,MASTER
B.A,
Associates,ASSOCIATE
Graduate Certificate,
Master of Engineering (M.Eng.),MASTER
Bachelors of Science,BACHELOR
Bachelor of Education (B.Ed.),BACHELOR
AAS,
BFA,
Bachelor's of Science,BACHELOR
Bachelor of Laws (LLB),BACHELOR
Bachelor of Music,MASTER
BSBA,
Bachelor of Engineering,BACHELOR
BA Hons,
A Levels,
J.D.,
Master of Arts,MASTER
N/A,
10th,
Ph.D,PHD
MCA,
B.Tech,
Intermediate,
Licence,
Certification,
Doctor of Medicine (M.D.),MD
Doctor of Education (Ed.D.),
Master of Engineering (MEng),MASTER
Doctor of Law (JD),
bachelor,BACHELOR
Juris Doctor (J.D.),
BE,
Master of Laws (LL.M.),MASTER
Bachelor of Laws (LL.B.),BACHELOR
SSC,
Associate,ASSOCIATE
Master's,MASTER
Bachelor's,BACHELOR
2:01,
B.E.,
